ilan_linki,aciklama,fiyat,ilan_no,ilan_tarihi,marka,seri,model,yıl,km,vites,yakıt,kasa,renk,motor_hacmi,motor_gücü,çekiş,boya_durumu,takasa_uygunluk,kimden,orjinal_parcalar,lokal_boyalı_parcalar,boyalı_parcalar,değişmiş_parcalar,belirtilmemiş_parcalar
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/volkswagen-passat-1-6-tdi-bluemotion-comfortline-2019-model-72000-de-aracim-satilik/30674398,Aracım 72000 km de olup temiz bir araçtır. İkinci sahibiyim. 01.07.2025 tarihinde bakımlarını yaptırdım. Alan sorunsuz bir şekilde kullanır.,1.925.000 TL,30674398.0,03 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2019.0,72.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,,Sahibinden,-,"Sol Arka Kapı, Sol Ön Kapı, Ön Tampon",-,-,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sağ Ön Çamurluk, Motor Kaputu, Sol Ön Çamurluk, Arka Tampon"
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2013-model/30571678,2017 den itibaren araç bende aldığımda ön tampon ve sol çamurluk boyalı olup bende iken sol arka kapıya sürtme sonucu etek altı boyalı başka bir hatası yoktur aracı kullandığım için km değişecektir alıcısına şimdiden hayırlı olsun,1.125.000 TL,30571678.0,30 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013.0,149.990 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1598 cc,105 hp,Önden Çekiş,İkinci El,,Sahibinden,-,Sağ Arka Kapı,"Sol Ön Çamurluk, Ön Tampon",-,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Arka Tampon"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-business/2020-passat-busines/28655587,"ARACIMIZ ORJİNAL BAKİMLİ BİR ARACTİR...

KAZASI DEĞİŞEN PARÇASI YOKTUR...

MOTORU ŞANZİMANİ YÜRÜYEN AKSAMI SORUNSUZDUR...

KOLTUKLARINDA VE İC DİZAYNINDA HERHANGİ BİR DEFORMASYON YOKTUR...

İLK SAHİBİNDEN ALINMISTIR..

TÜM BAKİMLARİ ZAMANINDA YAPILMIŞTIR...

YEDEK ANAHTARI KİTAPCİKLARİ MEVCUTTUR...

ARACIMIZDA EZİK ÇİZİK GÖÇÜK YOKTUR...

KREDİ KULLANDIRILİR...

BONUS KREDİ KARTLARINA 18 TAKSİT YAPILIR

DIGER KARTLARA 12 TAKSİT YAPILIR...

EXPERTİZ DURUMU AŞAĞIDAKİ SEMADA BELİRTİLMİŞTİR..

PARCA PARCA 28 BIN TL TRAMER KAYDI VARDIR...",1.850.000 TL,28655587.0,14 Nisan 2025,Volkswagen,Passat,1.6 TDi BlueMotion Business,2020.0,82.000 km,Otomatik,Benzin,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,"Sağ Arka Çamurluk, Arka Kaput, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Ön Kapı, Motor Kaputu, Sol Ön Çamurluk, Ön Tampon, Arka Tampon",Sol Arka Çamurluk,"Sol Arka Kapı, Sağ Ön Çamurluk",-,-
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/dmg-auto-dan-b7-passat/30876390,"DMG AUTO

2012 MODEL 1.6 TDİ

278.\*\*\* KM

​

MOTOR ŞANSIZMAN KUSURSUZ

ALT TAKIM YÜRÜR 1. SINIF

ÇALIŞMAYAN BİR AKSAMI YOKTUR

KLİMA AKTİF

YAĞ BAKIMLARI YENİ

TÜM BAKIMLARI TARAFIMIZCA YAPILMIŞ OLUP

YAĞ VE SU KAÇAĞI YOKTUR

ARACIN EXPER AŞAĞIDA ŞAPLONDA İŞARETLENMİŞTİR

TRAMER:50.000 TL

MUAYENE 22.09.2025

KM ORJİNALDİR

​

FİRMAMIZ İKİNCİ EL KARA TAŞITI TİCARETİ YETKİ BELGESİ’NE SAHİPTİR.

YETKİ BELGESİ NUMARASI=4600293

HER TÜRLÜ 2. EL ARAÇLARINIZ DEĞERİNDE NAKİT ALINIR

İSTERSENİZ ARACINIZI BIRAKIN SİZİN ADINIZA SATALIM",780.000 TL,30876390.0,10 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2012.0,278.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Ön Tampon, Arka Tampon",Motor Kaputu,Sağ Ön Çamurluk,Sol Ön Çamurluk,-
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/sahibinden-volkswagen-passat-1-6-tdi-dsg-comfortline-orjinal-led-2016-model-boyasiz/29640611,,,,,,,,,,,,,,,,,,,,,,,,
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/full-r-line-donusum/29369284,,,,,,,,,,,,,,,,,,,,,,,,
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-trendline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-trendline-2012-model/30896673,"Merhaba  
Aracımda kaza tramer yok. Sadece kaputun sağ uç ve ön kısmında lokal boya var. Başka boya değişen sök - tak yok. Birkaç önemsiz çizik ve nokta ezik var . Aracın dört lastik yeni. kavrama volant sorunu yok ben aldıktan sonra değiştirdim . Mekatronik tüpünü yeni değiştirdim. Ön amatisörler ve ön takım komple yeni yapıldı. Hepsinin belgesi var.  Kısacası araca bakın. İçinize sinerse hoşunuza giderse ekspertiz yaptırın alın. Ben alırken ekspetiz yaptırdım ve çok şükür kaza yapmadım ama mekanik arızaları olduğunda genelde hep orjinal ile değiştirdim. Oksijen sensorunu serviste yeni değiştirdim. Servis kayıtları da var.",875.000 TL,30896673.0,11 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2012.0,289.000 km,Yarı Otomatik,Dizel,Sedan,Mavi (metalik),1598 cc,105 hp,Önden Çekiş,İkinci El,,Sahibinden,-,-,-,-,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Sol Ön Çamurluk, Ön Tampon, Arka Tampon"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/galeriden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2015-model-adana/30270113,,,,,,,,,,,,,,,,,,,,,,,,
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/kaan-otomotiv-den-2015-model-1-parca-boyali-otomatik-ici-bej-b8/22738981,"**​​- ARACIMIZ 2015** **MODEL 1.6** **BLUEMOTİON****TDI** **120 PS** **DSG** **OTOMATİK VİTES COMFORTLİNE** **PAKETTİR.**

**-KİLOMETRESİ ORJİNAL 320.500 KM DEDİR.**

**- DÖŞEMLERİ BEJ OLUP İÇ AKSAMLARI KUSURSUZDUR**

**- MOTOR VE YÜRÜYEN AKSAMI BAKIMLIDIR.**

**-****ARACIMIZDA** **1 PARÇA SOL ÖN ÇAMURLUK BOYALI OLUP HARİCİ KAZASI DARBESİ BULUNMAMAKTADIR** **.**

**-TRAMER KAZA KAYDI PARK HALİNDE ÇARPMA 9808 TL .**

**- İSTENİLEN YERDE EXPERTİZ YAPTIRILABİLİR**

**- FİYATI ABARTILMAMIŞ ARAÇLARINIZ İLE TAKAS DEĞERLENDİRİLİR.**

**-YETKİ BELGE NO: 3800337**

**PAZAR GÜNLERİ HİZMET VERMEKTEYİZ**

**ADRES : YILDIZEVLER MAH. OTOGALERİCİLER SİTESİ 7. SOKAK NO 30**

**KAAN AUTO**

**İLETİŞİM BİLGİLERİ**

**-05334947677**

**-05389564489**",1150000,22738981.0,22 Mayıs 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015.0,320.500 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Ön Tampon, Arka Tampon",-,Sol Ön Çamurluk,-,-
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2016-model-ilk-elden-emsalsiz-temizlikte-comfortline-passat/30895815,ARACIMIZIN SADECE SOL ÖN ÇAMURLUK LOKAL BOYALI OLUP HARİCİNDE HATA BOYA YOKTUR MOTOR YÜRÜYEN ALT TAKIM KUSURSUZ OLUP BAKIMLARI ZAMANINDA YAPILMIŞTIR İÇİNDE DIŞINDA DEFORME YOKTUR ÇALIŞMAYAN AKSAMI YOKTUR GELİP GÖRÜLME DEGER TEMİZLİKTEDİR YEDEK ANAHTAR KULLANMA KILAVUZLARI VARDIR DETAYLI TEMİZLİK BOYA KORUMA YAPILMIŞTIR ARAÇ İLK ELDEN OLUP KUSURSUZ TEMİZLİKTEDİR KREDİ KART GEÇERLİDİR YENİ SAHİBİNE HAYIRLI UĞURLU OLSUN,1345000,30895815.0,11 Temmuz 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016.0,163.500 km,Otomatik,Dizel,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun,Galeriden,"Sağ Arka Çamurluk, Arka Kaput, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Tavan, Sol Arka Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Motor Kaputu, Ön Tampon, Arka Tampon",Sol Ön Çamurluk,-,-,-
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-highline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-highline-2014-model/29809049,"2021 den buyana araç bizdedir  
Temiz bakımlarını yeni yaptırdım  
4 adet yazlık 4 adet kışlık lastikler sıfır alındı  
Aracın boyanan yerlerinin hepsi eşimde oldu sürtmelerden dolayı

Boyalı yerler aşağıda işaretlidir

Hiç bir kazaya falan karışmamıştır   
Sürtme resimleri hepsi var bende   
Sol ön çamurluk değişmesinin sebebi ezildiği için düzelttirmedim pis görüntü olmasın diye değiştirdim  
Tramer kaydı yok tur  
Km kesinlikle orijinaldir

F1 kulakçık

Yağmur sensörü

Far sensörü

Hız sabitleme ve daha sayamadığım birçok özelliği var

Çalışmayan hiçbir aksamı yoktur

Alacak olan kişi masraf etmeden binecek

Aracıma kefilim   
Alıcısına şimdiden hayırlı olsun   
  
NOT: takas yapmak isteyenler aracının fiyatını yükseltip takasa gelmesin   
Takasa gelecek aracın fiyatına göre takas fiyatı verilecektir   
ÖLÜCÜLER UZAK DURSUN LÜTFEN   
MALIMIN HAİN’İ DEĞİLİM",860000,29809049.0,23 Mayıs 2025,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2014.0,240.000 km,Yarı Otomatik,Dizel,Sedan,Mavi (metalik),1598 cc,105 hp,Önden Çekiş,İkinci El,Takasa Uygun,Sahibinden,-,"Sağ Arka Çamurluk, Sol Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Sol Arka Kapı, Sol Ön Kapı",-,Sol Ön Çamurluk,"Arka Kaput, Tavan, Sağ Ön Çamurluk, Motor Kaputu, Ön Tampon, Arka Tampon"
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-impression/ottocar-plaza-dan-2017-model-volswagen-passat/29889676,"![](https://i.hizliresim.com/1ja4oe3.png)​

**2017**

**VOLSWAGEN PASSAT**

**1.6 TDI BMT IMPRESSİON**

**220.000 KM**

********HASAR KAYDI YOKTUR********

************ARACIMIZIN EKSPERTİZİ************************AÇIKLAMA KISMININ ALTINDADIR************

**ARAÇLARIMIZA EKSPERTİZ VE KİLOMETRE GARANTİSİ VERMEKTEYİZ.**

**SATTIĞIMIZ ARAÇLARDA GERİ ALMA GARANTİSİ VERMEKTEYİZ.**

****************************-KREDİ KARTINA TAKSİT İMKANI-****************************

![](https://i.hizliresim.com/blid1lh.png)​

STAR STOP  
  
ÇELİK JANT  
  
SİS FARI  
  
AİRBAG  
  
YOL BİLGİSAYARI  
  
ASR  
  
ESP  
  
ABS   
  
KLİMA  
  
4 CAM OTOMATİĞİ   
  
ELEKTRİKLİ AYNA   
  
UZAKTAN KUMANDA  
  
MERKEZİ KİLİT  
  
USB GİRİŞİ  
  
AUX GİRİŞİ



**KASKO DEĞERİ: 1.206.978TL**

**KASKO KODU: 153-1364**

**ÇIKAN KREDİ: 241.000TL**

**<----------------------->**

 -ADRESİMİZ -

 OTTOCAR PLAZA NO-85  

 MİMARSİNAN-BÜYÜKÇEKMECE 

 İSTANBUL",1175000,29889676.0,26 Haziran 2025,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2017.0,220.000 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,Takasa Uygun Değil,Galeriden,"Arka Kaput, Tavan, Motor Kaputu, Ön Tampon, Arka Tampon","Sol Arka Çamurluk, Sol Arka Kapı","Sağ Arka Çamurluk, Sağ Arka Kapı, Sağ Ön Kapı, Sol Ön Kapı, Sağ Ön Çamurluk, Sol Ön Çamurluk",-,-
